City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Torbay,CA,81.37,light rain,47.6666,-52.7314,Gallows Cove
3,Rikitea,PF,74.48,clear sky,-23.1203,-134.9692,People ThankYou
4,Jamestown,US,72.3,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Kieta,PG,78.24,light rain,-6.2167,155.6333,Uruna Bay Retreat
10,Great Bend,US,78.4,broken clouds,38.3645,-98.7648,Best Western Angus Inn
12,Hirara,JP,82.89,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
13,Moyale,KE,74.28,overcast clouds,3.5167,39.0584,La Tahzan Guest House
18,Nakamura,JP,75.0,light rain,32.9833,132.9333,Hotel Crown Hills Nakamura
19,Castro,BR,70.09,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
21,Hilo,US,72.63,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
25,Goderich,CA,72.91,clear sky,43.7501,-81.7165,Harmony Inn
33,Mlandizi,TZ,74.3,scattered clouds,-6.7,38.7333,Amazon Lodge..
35,Havre-Saint-Pierre,CA,70.16,clear sky,50.2334,-63.5986,Auberge Niapiskau
38,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Arrifes,PT,75.45,few clouds,37.7667,-25.7,Hotel Ponta Delgada
45,Pringsewu,ID,73.06,broken clouds,-5.3582,104.9744,Urban Style by Front One
50,Winnemucca,US,77.05,haze,40.973,-117.7357,Winners Inn Casino
52,Kupang,ID,76.39,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
53,Tchaourou,BJ,77.34,light rain,8.8865,2.5975,SAFIR HOTEL
56,Springfield,US,82.53,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
61,Atuona,PF,77.97,clear sky,-9.8,-139.0333,Villa Enata
64,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Hithadhoo,MV,83.41,broken clouds,-0.6,73.0833,Scoop Guest House
69,Bac Lieu,VN,79.36,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
70,Liuzhou,CN,78.4,light rain,24.3126,109.3892,Linjiang Inn
72,Banda Aceh,ID,78.31,overcast clouds,5.5577,95.3222,Sulthan Hotel International
75,Faanui,PF,78.51,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
77,Swan River,CA,75.09,broken clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
78,Jining,CN,71.02,light rain,35.405,116.5814,Yunhe Star Hotel
79,Kloulklubed,PW,77.5,few clouds,7.0419,134.2556,Storyboard Beach Resort
81,Butaritari,KI,82.42,few clouds,3.0707,172.7902,Isles Sunset Lodge
92,Caronport,CA,83.68,overcast clouds,50.4501,-105.8179,Pilgrim Inn
97,Naze,JP,77.68,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
100,Dingle,PH,76.44,light rain,10.9995,122.6711,SEGAYA PROPERTY
103,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
105,Bassano,CA,73.89,broken clouds,50.7834,-112.4685,Imperial Hunter Hotel
106,Labuhan,ID,77.92,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
110,Tezu,IN,77.4,overcast clouds,27.9167,96.1667,Circuit House
117,Beyneu,KZ,84.99,clear sky,45.3167,55.2,NUR
118,Portland,US,82.62,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
120,Bhatkal,IN,77.77,overcast clouds,13.9667,74.5667,Nilawar Palace
122,Kimbe,PG,74.84,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
125,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
129,Lorengau,PG,81.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
130,Hamilton,US,74.98,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
134,Hongjiang,CN,71.74,overcast clouds,27.11,109.9956,洪江大酒店
136,Lonavale,IN,71.64,broken clouds,18.75,73.4167,The Lagoona Resort
137,Sao Jose Da Coroa Grande,BR,77.9,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
139,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
142,Tabuk,PH,73.72,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
144,Kwidzyn,PL,73.27,broken clouds,53.7249,18.9311,Hotel Maxim Kwidzyn
147,Samarinda,ID,73.31,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
148,Guerrero Negro,MX,77.43,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
155,Faya,SA,73.51,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
157,Gat,IL,86.77,clear sky,31.61,34.7642,OlusHome
158,Danjiangkou,CN,73.13,light rain,32.5428,111.5086,Dongsheng Guesthouse
159,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
161,Dwarka,IN,81.59,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
162,Gouyave,GD,83.17,broken clouds,12.1646,-61.7296,Rumboat Retreat
163,Tual,ID,80.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
169,Harper,LR,79.81,overcast clouds,4.375,-7.7169,Screensaver
171,Plaridel,PH,81.1,overcast clouds,14.8872,120.8572,St. Agatha Resort
178,Bandarbeyla,SO,83.77,scattered clouds,9.4942,50.8122,JABIR HOTEL
185,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
186,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
187,Gizo,SB,81.34,light rain,-8.103,156.8419,Imagination Island
189,Ruston,US,84.85,broken clouds,32.5232,-92.6379,"Country Inn & Suites by Radisson, Ruston, LA"
190,Shenjiamen,CN,79.16,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
194,Victoria,HK,84.25,light rain,22.2855,114.1577,Mini Hotel Central
195,Wernigerode,DE,77.83,overcast clouds,51.8333,10.7833,Regiohotel & Restaurant Schanzenhaus Wernigerode / Harz
196,Karratha,AU,75.83,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
198,Magaria,NE,87.42,light rain,12.9983,8.9099,Chez Honorable Chapiou
199,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
201,Itarema,BR,85.39,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
203,Maragogi,BR,77.65,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
205,Mogadishu,SO,76.46,light rain,2.0371,45.3438,Hotel Juba
206,San Quintin,MX,74.7,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
208,Roebourne,AU,75.42,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
209,Tobol,KZ,73.35,few clouds,52.6844,62.5794,Tobol Gostinitsa
214,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
216,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
220,Vila Franca Do Campo,PT,77.41,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
222,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
223,Nouadhibou,MR,78.78,broken clouds,20.931,-17.0347,El Medina
224,Ormara,PK,79.41,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
229,La Ronge,CA,73.62,few clouds,55.1001,-105.2842,Northland Motor Hotel
231,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
