City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Massakory,TD,2021-08-14 16:53:35,12.996,15.7293,84.0,68,99,6.29,overcast clouds
1,Waingapu,ID,2021-08-14 16:53:36,-9.6567,120.2641,76.23,83,29,12.06,scattered clouds
2,Rikitea,PF,2021-08-14 16:53:36,-23.1203,-134.9692,74.57,81,81,16.73,light rain
3,Innoshima,JP,2021-08-14 16:53:36,34.2833,133.1833,74.88,94,100,9.8,heavy intensity rain
4,Pundaguitan,PH,2021-08-14 16:53:37,6.3711,126.1689,82.94,72,96,6.85,overcast clouds
5,Usoke,TZ,2021-08-14 16:53:37,-5.1667,32.35,77.23,26,15,6.08,few clouds
6,Touros,BR,2021-08-14 16:53:37,-5.1989,-35.4608,88.7,52,40,20.87,scattered clouds
7,Atuona,PF,2021-08-14 16:53:38,-9.8,-139.0333,77.81,80,28,17.34,scattered clouds
8,Hualmay,PE,2021-08-14 16:53:38,-11.0964,-77.6139,66.97,69,42,9.86,scattered clouds
9,Thinadhoo,MV,2021-08-14 16:53:39,0.5333,72.9333,82.92,72,54,16.33,broken clouds
10,Havoysund,NO,2021-08-14 16:53:39,70.9963,24.6622,50.88,85,97,9.4,overcast clouds
11,Bethel,US,2021-08-14 16:53:39,41.3712,-73.414,89.58,77,74,7.96,broken clouds
12,Santa Maria Del Oro,MX,2021-08-14 16:53:40,25.9333,-105.3667,76.84,46,19,6.69,few clouds
13,Malinyi,TZ,2021-08-14 16:53:40,-8.9333,36.1333,74.41,58,77,2.01,broken clouds
14,Lagunas,PE,2021-08-14 16:53:40,-5.2269,-75.6753,93.54,43,78,1.23,broken clouds
15,Punta Arenas,CL,2021-08-14 16:49:31,-53.15,-70.9167,39.31,87,90,5.75,overcast clouds
16,Port Elizabeth,ZA,2021-08-14 16:53:41,-33.918,25.5701,59.29,72,0,13.8,clear sky
17,Pevek,RU,2021-08-14 16:53:41,69.7008,170.3133,36.07,97,100,20.78,light rain
18,Alofi,NU,2021-08-14 16:53:41,-19.0595,-169.9187,66.09,100,38,5.75,scattered clouds
19,Souillac,MU,2021-08-14 16:53:42,-20.5167,57.5167,73.78,73,75,12.66,light rain
