City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Torbay,CA,47.6666,-52.7314,81.37,78,40,3.44,light rain
1,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,62,0,3.44,clear sky
2,Cape Town,ZA,-33.9258,18.4232,62.11,66,0,1.01,clear sky
3,Rikitea,PF,-23.1203,-134.9692,74.48,75,1,13.38,clear sky
4,Jamestown,US,42.097,-79.2353,72.3,65,1,3.0,clear sky
5,Hobart,AU,-42.8794,147.3294,43.27,86,90,4.0,overcast clouds
6,Kieta,PG,-6.2167,155.6333,78.24,85,82,4.12,light rain
7,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,100,20,4.47,few clouds
8,East London,ZA,-33.0153,27.9116,61.74,82,0,10.36,clear sky
9,Esperance,AU,-33.8667,121.9,49.84,87,0,8.08,clear sky
10,Great Bend,US,38.3645,-98.7648,78.4,94,75,9.22,broken clouds
11,Kruisfontein,ZA,-34.0033,24.7314,58.89,76,0,6.22,clear sky
12,Hirara,JP,24.8,125.2833,82.89,80,0,11.21,clear sky
13,Moyale,KE,3.5167,39.0584,74.28,44,97,10.85,overcast clouds
14,Rocha,UY,-34.4833,-54.3333,64.51,70,65,3.2,broken clouds
15,Luderitz,NA,-26.6481,15.1594,57.52,73,0,6.87,clear sky
16,Plettenberg Bay,ZA,-34.0527,23.3716,57.72,82,0,5.95,clear sky
17,Port Alfred,ZA,-33.5906,26.891,61.18,79,0,10.47,clear sky
18,Nakamura,JP,32.9833,132.9333,75.0,97,100,2.13,light rain
19,Castro,BR,-24.7911,-50.0119,70.09,59,82,5.86,broken clouds
20,Bluff,NZ,-46.6,168.3333,49.8,73,100,19.3,overcast clouds
21,Hilo,US,19.7297,-155.09,72.63,88,1,5.75,clear sky
22,Ponta Do Sol,PT,32.6667,-17.1,88.43,53,54,6.58,broken clouds
23,Port Hardy,CA,50.6996,-127.4199,62.78,100,90,5.75,overcast clouds
24,Busselton,AU,-33.65,115.3333,50.09,83,0,9.62,clear sky
25,Goderich,CA,43.7501,-81.7165,72.91,46,4,3.44,clear sky
26,Bredasdorp,ZA,-34.5322,20.0403,60.12,67,6,5.75,clear sky
27,Yellowknife,CA,62.456,-114.3525,59.52,82,75,10.36,broken clouds
28,Mehamn,NO,71.0357,27.8492,44.78,80,100,13.98,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,47.86,66,40,8.05,scattered clouds
30,Qaanaaq,GL,77.484,-69.3632,38.44,99,100,6.87,light rain
31,Leningradskiy,RU,69.3833,178.4167,32.58,96,100,13.15,overcast clouds
32,Tarko-Sale,RU,64.9225,77.785,58.46,69,99,20.27,overcast clouds
